priorityIndex,batch,term,canonicalTerm,valueTier,recommendedTier,learningPriority,contentCategory,frequency,score,sourceStatus,sourceGlobalIndex,wordList,unit,unitIndex,sourceOccurrences,audioFile,start,end
1,1,accurate,accurate,active,active,high,forms-services,4.57,4.57,ready,3115,7,2,47,1,ysgpc/Word List7/Word List7-Unit2.mp3,130.17,130.72
2,1,agenda,agenda,active,active,high,forms-services,4.3,4.3,ready,1242,3,3,56,1,ysgpc/Word List3/Word List3-Unit3.mp3,151.17,151.72
3,1,announcement,announcement,active,active,high,forms-services,4.31,4.31,ready,1382,3,4,97,1,ysgpc/Word List3/Word List3-Unit4.mp3,261.62,262.31
4,1,approve,approve,active,active,high,forms-services,4.08,4.08,ready,751,2,3,58,1,ysgpc/Word List2/Word List2-Unit3.mp3,160.33,160.9
5,1,arrange,arrange,active,active,high,forms-services,4.0,4.0,ready,1850,4,4,71,1,ysgpc/Word List4/Word List4-Unit4.mp3,192.67,193.31
6,1,assistant,assistant,active,active,high,forms-services,4.72,4.72,ready,2056,5,1,79,1,ysgpc/Word List5/Word List5-Unit1.mp3,213.95,214.66
7,1,assure,assure,active,active,high,forms-services,4.06,4.06,ready,3040,7,1,71,1,ysgpc/Word List7/Word List7-Unit1.mp3,190.06,190.54
8,1,cancel,cancel,active,active,high,forms-services,4.18,4.83,ready,405,1,5,9,1,ysgpc/Word List1/Word List1-Unit5.mp3,28.27,28.81
9,1,classification,classification,active,active,high,forms-services,4.18,4.18,ready,672,2,2,78,1,ysgpc/Word List2/Word List2-Unit2.mp3,211.18,212.08
10,1,communicate,communicate,active,active,high,forms-services,4.2,4.2,ready,1942,4,5,64,1,ysgpc/Word List4/Word List4-Unit5.mp3,177.85,178.59
11,1,comparison,comparison,active,active,high,forms-services,4.51,4.51,ready,1930,4,5,52,1,ysgpc/Word List4/Word List4-Unit5.mp3,145.59,146.35
12,1,compensation,compensation,active,active,high,forms-services,4.33,4.33,ready,1503,4,1,20,1,ysgpc/Word List4/Word List4-Unit1.mp3,58.0,58.86
13,1,comply,comply,active,active,high,forms-services,4.04,4.04,ready,387,1,4,88,1,ysgpc/Word List1/Word List1-Unit4.mp3,237.75,238.37
14,1,consent,consent,active,active,high,forms-services,4.36,4.36,ready,496,2,1,1,1,ysgpc/Word List2/Word List2-Unit1.mp3,7.99,8.61
15,1,convenient,convenient,active,active,high,forms-services,4.15,4.15,ready,1849,4,4,70,1,ysgpc/Word List4/Word List4-Unit4.mp3,189.89,190.66
16,1,criteria,criteria,active,active,high,forms-services,4.21,4.21,ready,2161,5,2,84,1,ysgpc/Word List5/Word List5-Unit2.mp3,225.64,226.36
17,1,delivery,delivery,active,active,high,forms-services,4.59,4.59,ready,959,2,5,68,1,ysgpc/Word List2/Word List2-Unit5.mp3,185.84,186.34
18,1,departure,departure,active,active,high,forms-services,4.22,4.22,ready,1466,3,5,82,1,ysgpc/Word List3/Word List3-Unit5.mp3,222.6,223.22
19,1,deposit,deposit,active,active,high,forms-services,4.24,4.89,ready,1163,3,2,76,1,ysgpc/Word List3/Word List3-Unit2.mp3,206.6,207.22
20,1,destination,destination,active,active,high,forms-services,4.24,4.24,ready,3185,7,3,20,1,ysgpc/Word List7/Word List7-Unit3.mp3,57.99,58.75
21,1,discount,discount,active,active,high,forms-services,4.35,4.35,ready,1923,4,5,45,1,ysgpc/Word List4/Word List4-Unit5.mp3,126.82,127.46
22,1,display,display,active,active,high,forms-services,4.63,4.63,ready,902,2,5,11,1,ysgpc/Word List2/Word List2-Unit5.mp3,34.88,35.45
23,1,duration,duration,active,active,high,forms-services,4.14,4.14,ready,2351,5,4,76,1,ysgpc/Word List5/Word List5-Unit4.mp3,204.82,205.46
24,1,efficient,efficient,active,active,high,forms-services,4.42,4.42,ready,2002,5,1,25,1,ysgpc/Word List5/Word List5-Unit1.mp3,72.32,72.99
25,1,eligible,eligible,active,active,high,forms-services,4.29,4.29,ready,3141,7,2,73,1,ysgpc/Word List7/Word List7-Unit2.mp3,199.16,199.67
26,1,enable,enable,active,active,high,forms-services,4.3,4.3,ready,3254,7,3,89,1,ysgpc/Word List7/Word List7-Unit3.mp3,242.62,243.17
27,1,ensure,ensure,active,active,high,forms-services,4.7,4.7,ready,2740,6,3,68,1,ysgpc/Word List6/Word List6-Unit3.mp3,184.54,185.11
28,1,estimate,estimate,active,active,high,forms-services,4.29,4.29,ready,1009,3,1,21,1,ysgpc/Word List3/Word List3-Unit1.mp3,59.53,60.09
29,1,evaluate,evaluate,active,active,high,forms-services,4.01,4.01,ready,787,2,3,94,1,ysgpc/Word List2/Word List2-Unit3.mp3,255.52,256.25
30,1,expense,expense,active,active,high,forms-services,4.23,4.23,ready,1341,3,4,56,1,ysgpc/Word List3/Word List3-Unit4.mp3,154.15,154.84
31,1,explicit,explicit,receptive,active,high,forms-services,3.96,3.96,ready,2610,6,2,37,1,ysgpc/Word List6/Word List6-Unit2.mp3,102.65,103.39
32,1,extension,extension,active,active,high,forms-services,4.46,4.46,ready,2511,6,1,38,1,ysgpc/Word List6/Word List6-Unit1.mp3,105.19,105.94
33,1,facilitate,facilitate,receptive,active,high,forms-services,3.99,3.99,ready,3444,7,5,82,1,ysgpc/Word List7/Word List7-Unit5.mp3,221.65,222.41
34,1,feedback,feedback,active,active,high,forms-services,4.32,4.32,ready,2224,5,3,48,1,ysgpc/Word List5/Word List5-Unit3.mp3,132.19,132.86
35,1,fill,fill,active,active,high,forms-services,4.64,4.64,ready,1988,5,1,11,1,ysgpc/Word List5/Word List5-Unit1.mp3,34.83,35.24
36,1,forecast,forecast,active,active,high,forms-services,4.09,4.09,ready,2923,6,5,53,1,ysgpc/Word List6/Word List6-Unit5.mp3,143.26,143.93
37,1,format,format,active,active,high,forms-services,4.47,4.47,ready,2979,7,1,10,1,ysgpc/Word List7/Word List7-Unit1.mp3,31.16,31.76
38,1,framework,framework,active,active,high,forms-services,4.29,4.29,ready,722,2,3,29,1,ysgpc/Word List2/Word List2-Unit3.mp3,82.83,83.48
39,1,guarantee,guarantee,active,active,high,forms-services,4.44,4.44,ready,1775,4,3,94,1,ysgpc/Word List4/Word List4-Unit3.mp3,251.17,251.8
40,1,guideline,guideline,receptive,active,high,forms-services,3.25,3.25,ready,1315,3,4,30,1,ysgpc/Word List3/Word List3-Unit4.mp3,85.7,86.26
41,1,handle,handle,active,active,high,forms-services,4.79,4.79,ready,2070,5,1,93,1,ysgpc/Word List5/Word List5-Unit1.mp3,250.92,251.44
42,1,implement,implement,active,active,high,forms-services,4.2,4.2,ready,3271,7,4,8,1,ysgpc/Word List7/Word List7-Unit4.mp3,25.64,26.25
43,1,include,include,active,active,high,forms-services,5.21,5.21,ready,2555,6,1,82,1,ysgpc/Word List6/Word List6-Unit1.mp3,220.05,220.72
44,1,indicate,indicate,active,active,high,forms-services,4.35,4.35,ready,911,2,5,20,1,ysgpc/Word List2/Word List2-Unit5.mp3,58.79,59.42
45,1,inquiry,inquiry,active,active,high,forms-services,4.25,4.25,ready,3218,7,3,53,1,ysgpc/Word List7/Word List7-Unit3.mp3,145.84,146.55
46,1,inspect,inspect,receptive,active,high,forms-services,3.63,3.63,ready,1748,4,3,67,1,ysgpc/Word List4/Word List4-Unit3.mp3,179.71,180.41
47,1,install,install,active,active,high,forms-services,4.14,4.14,ready,2875,6,5,5,1,ysgpc/Word List6/Word List6-Unit5.mp3,17.63,18.22
48,1,inventory,inventory,active,active,high,forms-services,4.14,4.14,ready,2893,6,5,23,1,ysgpc/Word List6/Word List6-Unit5.mp3,64.95,65.57
49,1,invoice,invoice,receptive,active,high,forms-services,3.27,3.92,ready,917,2,5,26,1,ysgpc/Word List2/Word List2-Unit5.mp3,74.93,75.52
50,1,label,label,active,active,high,forms-services,4.43,4.43,ready,3029,7,1,60,1,ysgpc/Word List7/Word List7-Unit1.mp3,161.47,161.93
51,1,layout,layout,active,active,high,forms-services,4.08,4.08,ready,1459,3,5,75,1,ysgpc/Word List3/Word List3-Unit5.mp3,204.15,204.72
52,1,mandatory,mandatory,active,active,high,forms-services,4.13,4.13,ready,2672,6,2,99,1,ysgpc/Word List6/Word List6-Unit2.mp3,268.26,268.92
53,1,manual,manual,active,active,high,forms-services,4.32,4.32,ready,1265,3,3,79,1,ysgpc/Word List3/Word List3-Unit3.mp3,211.75,212.24
54,1,membership,membership,active,active,high,forms-services,4.47,4.47,ready,698,2,3,5,1,ysgpc/Word List2/Word List2-Unit3.mp3,18.63,19.29
55,1,monitor,monitor,active,active,high,forms-services,4.37,4.37,ready,1806,4,4,27,1,ysgpc/Word List4/Word List4-Unit4.mp3,75.95,76.49
56,1,notify,notify,receptive,active,high,forms-services,3.73,3.73,ready,1598,4,2,15,1,ysgpc/Word List4/Word List4-Unit2.mp3,46.27,46.97
57,1,obtain,obtain,active,active,high,forms-services,4.4,4.4,ready,2338,5,4,63,1,ysgpc/Word List5/Word List5-Unit4.mp3,171.11,171.68
58,1,operate,operate,active,active,high,forms-services,4.5,4.5,ready,1110,3,2,23,2,ysgpc/Word List3/Word List3-Unit2.mp3,65.71,66.3
59,1,optional,optional,receptive,active,high,forms-services,3.91,3.91,ready,3047,7,1,78,1,ysgpc/Word List7/Word List7-Unit1.mp3,208.37,208.89
60,1,orientation,orientation,active,active,high,forms-services,4.05,4.05,ready,2698,6,3,26,1,ysgpc/Word List6/Word List6-Unit3.mp3,73.32,74.24
61,1,outcome,outcome,active,active,high,forms-services,4.35,4.35,ready,1099,3,2,12,1,ysgpc/Word List3/Word List3-Unit2.mp3,37.0,37.51
62,1,pending,pending,active,active,high,forms-services,4.02,4.02,ready,2558,6,1,85,1,ysgpc/Word List6/Word List6-Unit1.mp3,228.11,228.63
