globalIndex,wordList,unit,index,word,start,end,audioFile,status,evidence,confidence,notes
1,1,1,1,abandon,6.36,6.98,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
2,1,1,2,insane,8.99,9.65,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
3,1,1,3,barter,11.65,12.1,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
4,1,1,4,insert,14.12,14.78,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
5,1,1,5,abolish,16.8,17.41,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
6,1,1,6,compliment,19.44,20.07,ysgpc/Word List1/Word List1-Unit1.mp3,print-check,whole-track-asr,,homophone cannot be distinguished from audio alone: complement / compliment
7,1,1,7,perimeter,22.09,22.63,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
8,1,1,8,sedate,24.64,25.22,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
9,1,1,9,famine,27.26,27.7,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
10,1,1,10,relentless,29.7,30.43,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
11,1,1,11,retort,32.45,33.05,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
12,1,1,12,sympathy,35.06,35.66,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
13,1,1,13,accent,37.71,38.25,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
14,1,1,14,deliberate,40.27,40.84,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
15,1,1,15,widespread,42.85,43.49,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
16,1,1,16,provided,45.53,46.15,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
17,1,1,17,grouchy,48.18,48.66,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
18,1,1,18,orthodox,50.8,51.52,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
19,1,1,19,transmute,53.54,54.31,ysgpc/Word List1/Word List1-Unit1.mp3,corrected,isolated-word-double-pass,0.78717,
20,1,1,20,specialize,56.34,57.2,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
21,1,1,21,reform,59.21,59.8,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
22,1,1,22,dizzy,61.83,62.23,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
23,1,1,23,gadget,64.28,64.79,ysgpc/Word List1/Word List1-Unit1.mp3,corrected,isolated-word-double-pass,0.57005,
24,1,1,24,diffuse,66.82,67.47,ysgpc/Word List1/Word List1-Unit1.mp3,corrected,isolated-word-double-pass,0.78838,
25,1,1,25,burst,69.5,69.99,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
26,1,1,26,abstract,72.0,72.64,ysgpc/Word List1/Word List1-Unit1.mp3,print-check,whole-track-asr+additional-duplicate-check,,two consecutive pronunciations both resolve to abstract; likely noun/verb stress pair
27,1,1,27,abstract,73.66,74.37,ysgpc/Word List1/Word List1-Unit1.mp3,print-check,whole-track-asr+additional-duplicate-check,,two consecutive pronunciations both resolve to abstract; likely noun/verb stress pair
28,1,1,28,drill,76.39,76.74,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
29,1,1,29,irrigate,78.8,79.37,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
30,1,1,30,scandal,81.39,82.0,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
31,1,1,31,foresight,84.02,84.69,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
32,1,1,32,premiere,86.72,87.21,ysgpc/Word List1/Word List1-Unit1.mp3,corrected,whole-track-asr+additional-duplicate-check,,additional candidate: premiere
33,1,1,33,rigid,89.22,89.74,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
34,1,1,34,solicitous,91.8,92.64,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
35,1,1,35,strain,94.67,95.3,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
36,1,1,36,significant,97.34,98.12,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
37,1,1,37,onslaught,100.15,100.79,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
38,1,1,38,hasty,102.84,103.34,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
39,1,1,39,denial,105.42,105.94,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
40,1,1,40,tempt,107.98,108.4,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
41,1,1,41,bigoted,110.52,111.0,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
42,1,1,42,jagged,113.08,113.54,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
43,1,1,43,bend,115.6,116.02,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
44,1,1,44,hire,118.11,118.53,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
45,1,1,45,jostle,120.62,121.07,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
46,1,1,46,intravenous,123.16,124.01,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
47,1,1,47,encourage,126.1,126.78,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
48,1,1,48,hatred,128.88,129.39,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
49,1,1,49,flicker,131.52,131.99,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
50,1,1,50,overfill,134.08,134.69,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
51,1,1,51,retreat,136.74,137.28,ysgpc/Word List1/Word List1-Unit1.mp3,corrected,isolated-word-double-pass,0.63661,
52,1,1,52,frowsy,139.3,139.95,ysgpc/Word List1/Word List1-Unit1.mp3,corrected,isolated-word-double-pass,0.56141,
53,1,1,53,laboratory,142.08,142.76,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
54,1,1,54,dogma,144.78,145.2,ysgpc/Word List1/Word List1-Unit1.mp3,corrected,isolated-word-double-pass,0.94239,
55,1,1,55,discern,147.21,147.76,ysgpc/Word List1/Word List1-Unit1.mp3,corrected,isolated-word-double-pass+spelling-decision,0.4437,isolated candidates: discern / dicern
56,1,1,56,arbitrary,149.85,150.51,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
57,1,1,57,highlight,152.63,153.18,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
58,1,1,58,charity,155.29,155.83,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
59,1,1,59,fuzzy,157.87,158.33,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
60,1,1,60,tough,160.37,160.78,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
61,1,1,61,robust,162.78,163.45,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
62,1,1,62,proceed,165.48,166.03,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr+additional-duplicate-check,,
63,1,1,63,excellent,168.06,168.69,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
64,1,1,64,extinct,170.74,171.39,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
65,1,1,65,mediate,173.43,174.07,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr+additional-duplicate-check,,
66,1,1,66,decrepit,176.1,176.7,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
67,1,1,67,initial,178.73,179.24,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
68,1,1,68,access,181.29,181.91,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
69,1,1,69,excise,183.95,184.6,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
70,1,1,70,rampant,186.64,187.22,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
71,1,1,71,narrate,189.28,189.84,ysgpc/Word List1/Word List1-Unit1.mp3,corrected,whole-track-asr+additional-lexical-check+spelling-decision,,additional candidate: narrate
72,1,1,72,amenity,191.91,192.56,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
73,1,1,73,sculpture,194.62,195.25,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
74,1,1,74,technical,197.36,197.91,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
75,1,1,75,inquire,199.92,200.54,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
76,1,1,76,export,202.56,203.24,ysgpc/Word List1/Word List1-Unit1.mp3,print-check,whole-track-asr+additional-duplicate-check,,two consecutive pronunciations both resolve to export; likely noun/verb stress pair
77,1,1,77,export,204.32,204.95,ysgpc/Word List1/Word List1-Unit1.mp3,print-check,whole-track-asr+additional-duplicate-check,,two consecutive pronunciations both resolve to export; likely noun/verb stress pair
78,1,1,78,missile,206.99,207.51,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
79,1,1,79,improvise,209.56,210.32,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
80,1,1,80,infer,212.33,212.91,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
81,1,1,81,candid,214.97,215.48,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
82,1,1,82,shatter,217.54,218.07,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
83,1,1,83,graphic,220.1,220.64,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
84,1,1,84,contour,222.64,223.15,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
85,1,1,85,vigour,225.18,225.61,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
86,1,1,86,allot,227.64,228.16,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
87,1,1,87,flourish,230.25,230.83,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
88,1,1,88,diversity,232.84,233.55,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
89,1,1,89,homotherm,235.65,236.33,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr+additional-lexical-check,,
90,1,1,90,attend,238.36,238.95,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
91,1,1,91,deceptive,241.0,241.68,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
92,1,1,92,recession,243.73,244.34,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
93,1,1,93,gush,246.37,246.8,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
94,1,1,94,implicit,248.84,249.52,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
95,1,1,95,accustomed,251.54,252.27,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
96,1,1,96,veil,254.3,254.79,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
97,1,1,97,harsh,256.8,257.34,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
98,1,1,98,attitude,259.35,259.98,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
99,1,1,99,imperial,262.0,262.69,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
100,1,1,100,host,264.72,265.21,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
101,1,1,101,algebra,267.23,267.79,ysgpc/Word List1/Word List1-Unit1.mp3,recognized,whole-track-asr,,
102,1,2,1,protection,7.85,8.52,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
103,1,2,2,material,10.53,11.16,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
104,1,2,3,poison,13.21,13.78,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
105,1,2,4,breakdown,15.88,16.5,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
106,1,2,5,ignite,18.59,19.22,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
107,1,2,6,contrary,21.29,21.9,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
108,1,2,7,chemical,23.92,24.38,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
109,1,2,8,horse,26.45,27.01,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
110,1,2,9,equate,29.02,29.58,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
111,1,2,10,gentility,31.62,32.35,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
112,1,2,11,precursor,34.39,35.08,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
113,1,2,12,annual,37.15,37.61,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
114,1,2,13,archaeology,39.7,40.5,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
115,1,2,14,inborn,42.58,43.21,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
116,1,2,15,condition,45.24,45.86,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
117,1,2,16,navigate,47.88,48.54,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
118,1,2,17,finale,50.6,51.17,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
119,1,2,18,infirmity,53.23,53.97,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
120,1,2,19,anniversary,55.97,56.73,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
121,1,2,20,drawback,58.73,59.34,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
122,1,2,21,internal,61.37,62.01,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
123,1,2,22,diverge,64.03,64.72,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
124,1,2,23,opaque,66.73,67.34,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
125,1,2,24,kindle,69.37,69.83,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
126,1,2,25,whimsical,71.86,72.47,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
127,1,2,26,sight,74.48,74.98,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
128,1,2,27,feasible,77.03,77.6,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
129,1,2,28,malady,79.63,80.15,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
130,1,2,29,harvest,82.29,82.91,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
131,1,2,30,enact,84.94,85.48,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
132,1,2,31,shift,87.51,88.05,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
133,1,2,32,epidemic,90.07,90.72,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
134,1,2,33,boring,92.75,93.22,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
135,1,2,34,tedious,95.23,95.85,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
136,1,2,35,heterogeneous,97.87,98.88,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
137,1,2,36,heard,100.91,101.38,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
138,1,2,37,bunch,103.41,103.83,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
139,1,2,38,cruise,105.84,106.41,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
140,1,2,39,domestic,108.43,109.03,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
141,1,2,40,initiative,111.06,111.72,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
142,1,2,41,four,113.74,114.12,ysgpc/Word List1/Word List1-Unit2.mp3,corrected,whole-track-asr+additional-duplicate-check+spelling-decision,,additional candidate: four
143,1,2,42,prey,116.13,116.57,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
144,1,2,43,bound,118.6,119.1,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
145,1,2,44,household,121.13,121.75,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
146,1,2,45,bet,123.78,124.16,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
147,1,2,46,simplify,126.18,126.93,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
148,1,2,47,fear,128.99,129.46,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
149,1,2,48,absent,131.55,132.1,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
150,1,2,49,legend,134.13,134.72,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
151,1,2,50,awesome,136.77,137.29,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
152,1,2,51,bottom,139.29,139.71,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
153,1,2,52,tarnish,141.76,142.34,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
154,1,2,53,periodical,144.37,145.02,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
155,1,2,54,debris,147.12,147.53,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
156,1,2,55,parallel,149.62,150.1,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
157,1,2,56,depreciation,152.13,153.01,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
158,1,2,57,subtitle,155.03,155.71,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
159,1,2,58,boutique,157.72,158.25,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
160,1,2,59,lubricate,160.27,160.97,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
161,1,2,60,begrudge,162.99,163.57,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
162,1,2,61,oppress,165.59,166.16,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
163,1,2,62,renovate,168.16,168.78,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
164,1,2,63,stimulate,170.8,171.52,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
165,1,2,64,brag,173.55,173.94,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
166,1,2,65,insufficient,175.97,176.78,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
